id,dt,accel_x,accel_y,accel_z,accel_angle_x,accel_angle_y,accel_angle_z,angle_x,angle_y,angle_z,phase
3764,0.032,-1116.0,-16496.0,1088.0,-84.6,3.86,0.0,-84.89,4.16,28.66,1
3765,0.032,-1088.0,-16268.0,1328.0,-83.98,3.81,0.0,-84.85,4.14,28.66,1
3766,0.031,-940.0,-16492.0,1380.0,-84.22,3.25,0.0,-84.84,4.11,28.64,1
3767,0.032,-1016.0,-16332.0,1080.0,-84.81,3.55,0.0,-84.89,4.11,28.61,1
3768,0.031,-1108.0,-16504.0,1044.0,-84.73,3.83,0.0,-84.89,4.12,28.6,1
3769,0.032,-1068.0,-16188.0,1208.0,-84.31,3.76,0.0,-84.88,4.11,28.58,1
3770,0.031,-1020.0,-16372.0,920.0,-85.2,3.56,0.0,-84.91,4.1,28.56,1
3771,0.032,-1144.0,-16392.0,1168.0,-84.3,3.98,0.0,-84.86,4.11,28.55,1
3772,0.032,-1020.0,-16384.0,1052.0,-84.89,3.56,0.0,-84.88,4.09,28.53,1
3773,0.032,-932.0,-16328.0,1080.0,-85.01,3.26,0.0,-84.9,4.08,28.5,1
3774,0.031,-892.0,-16380.0,952.0,-85.45,3.11,0.0,-84.95,4.04,28.51,1
3775,0.031,-924.0,-16500.0,940.0,-85.43,3.2,0.0,-84.96,4.0,28.52,1
3776,0.032,-968.0,-16304.0,1124.0,-84.8,3.39,0.0,-84.97,3.97,28.51,1
3777,0.031,-1068.0,-16268.0,1088.0,-84.65,3.75,0.0,-84.99,3.99,28.48,1
3778,0.031,-980.0,-16308.0,920.0,-85.29,3.43,0.0,-84.97,3.96,28.48,1
3779,0.032,-1000.0,-16148.0,1088.0,-84.77,3.54,0.0,-84.98,3.95,28.49,1
3780,0.032,-1020.0,-16436.0,1028.0,-84.96,3.54,0.0,-85.0,3.95,28.47,1
3781,0.031,-932.0,-16136.0,1120.0,-84.84,3.3,0.0,-85.0,3.92,28.48,1
3782,0.032,-1080.0,-16420.0,1112.0,-84.61,3.75,0.0,-85.02,3.92,28.5,1
3783,0.032,-944.0,-16260.0,964.0,-85.26,3.32,0.0,-85.03,3.89,28.5,1
3784,0.031,-1104.0,-16344.0,980.0,-84.84,3.86,0.0,-85.08,3.89,28.49,1
3785,0.031,-1080.0,-16468.0,804.0,-85.33,3.75,0.0,-85.08,3.86,28.47,1
3786,0.032,-1012.0,-16032.0,1260.0,-84.24,3.6,0.0,-85.05,3.85,28.48,1
3787,0.031,-1248.0,-16408.0,968.0,-84.5,4.34,0.0,-85.01,3.88,28.49,1
3788,0.032,-992.0,-16248.0,1096.0,-84.8,3.49,0.0,-84.92,3.85,28.49,1
3789,0.031,-1140.0,-16388.0,1132.0,-84.4,3.97,0.0,-84.87,3.87,28.5,1
3790,0.032,-1152.0,-16348.0,1220.0,-84.14,4.02,0.0,-84.74,3.88,28.49,1
3791,0.032,-952.0,-16220.0,1096.0,-84.89,3.35,0.0,-84.65,3.84,28.48,1
3792,0.032,-1072.0,-16240.0,1228.0,-84.27,3.77,0.0,-84.54,3.83,28.45,1
3793,0.031,-976.0,-16172.0,1288.0,-84.29,3.44,0.0,-84.47,3.82,28.44,1
3794,0.031,-1064.0,-16308.0,1056.0,-84.75,3.73,0.0,-84.38,3.82,28.43,1
3795,0.032,-1000.0,-16136.0,1308.0,-84.17,3.53,0.0,-84.25,3.8,28.43,1
3796,0.032,-1028.0,-16468.0,1364.0,-84.08,3.56,0.0,-84.14,3.8,28.43,1
3797,0.031,-1080.0,-16340.0,1440.0,-83.71,3.77,0.0,-84.0,3.8,28.42,1
3798,0.032,-1144.0,-16356.0,1308.0,-83.94,3.99,0.0,-83.84,3.8,28.39,1
3799,0.032,-900.0,-15888.0,1520.0,-83.66,3.23,0.0,-83.63,3.71,28.4,1
3800,0.031,-1200.0,-16332.0,1608.0,-83.0,4.18,0.0,-83.4,3.68,28.39,1
3801,0.032,-1096.0,-16456.0,1444.0,-83.71,3.8,0.0,-83.12,3.61,28.35,1
3802,0.032,-1044.0,-16296.0,1592.0,-83.34,3.65,0.0,-82.83,3.54,28.33,1
3803,0.032,-1092.0,-16724.0,1640.0,-83.28,3.72,0.0,-82.46,3.47,28.3,1
3804,0.031,-964.0,-16168.0,1956.0,-82.32,3.39,0.0,-82.0,3.36,28.26,1
3805,0.032,-1016.0,-16184.0,1988.0,-82.15,3.57,0.0,-81.48,3.24,28.23,1
